,Fi
1206,0.00945
1207,0.01494
1208,0.01067
1209,0.00719
1210,0.00642
1211,0.01809
1212,0.02089
1213,0.00202
1214,0.00239
1215,0.00453
1216,-0.00275
1217,-0.00356
1218,-0.00937
1219,-0.00890
1220,-0.00695
1221,-0.01101
1222,-0.00320
1223,-0.01367
1224,-0.01090
1225,0.00152
1226,0.00292
1227,-0.00058
1228,-0.00075
1229,0.03418
1230,0.04271
1231,-0.00136
1232,-0.00104
1233,-0.01066
1234,-0.01498
1235,0.03171
1236,0.04116
1237,0.03855
1238,0.02589
1239,0.02455
1240,0.03053
1241,0.00708
1242,-0.02044
1243,-0.01491
1244,0.00649
1245,0.00491
1246,-0.00428
1247,-0.00414
1248,0.02420
1249,0.02911
1250,0.02421
1251,0.01800
1252,-0.03535
1253,-0.04648
1254,-0.04267
1255,-0.01107
1256,-0.01501
1257,-0.00666
1258,-0.00904
1259,-0.00854
1260,-0.01143
1261,-0.00877
1262,-0.02159
1263,-0.02553
1264,-0.03844
1265,0.00340
1266,0.00220
1267,0.04474
1268,0.05821
1269,0.00161
1270,0.00647
1271,0.01753
1272,-0.00288
1273,-0.00370
1274,-0.00432
1275,-0.02131
1276,-0.01835
1277,-0.01612
1278,-0.02768
1279,0.00161
1280,0.00228
1281,0.00004
1282,0.01317
1283,-0.04947
1284,-0.04771
1285,-0.02963
1286,-0.04104
1287,-0.02925
1288,-0.05975
1289,-0.01126
1290,-0.00791
1291,-0.00810
1292,-0.00572
1293,-0.00531
1294,-0.00826
1295,0.00634
1296,0.00439
1297,0.00079
1298,-0.01412
1299,-0.01520
1300,-0.01289
1301,-0.01833
1302,0.05366
1303,0.05195
1304,-0.02016
1305,0.00063
1306,0.00073
1307,-0.00282
1308,0.00698
1309,0.00548
1310,0.01805
1311,0.01806
1312,0.01735
1313,0.01548
1314,0.00042
1315,-0.00020
1316,-0.00112
1317,-0.00000
1318,-0.01169
1319,-0.01740
1320,-0.01222
1321,-0.02204
1322,-0.04034
1323,-0.04285
1324,0.01868
1325,0.02081
1326,0.01490
1327,0.01254
1328,-0.00926
1329,0.01432
1330,-0.03025
1331,-0.04441
1332,0.00889
1333,-0.04760
1334,-0.03453
1335,-0.01940
1336,-0.00083
1337,0.00813
1338,0.00505
1339,-0.00147
1340,-0.01001
1341,-0.01697
1342,-0.01916
1343,0.00204
1344,0.00335
1345,0.00266
1346,-0.00850
1347,-0.01064
1348,0.00307
1349,0.00217
1350,0.00317
1351,0.00429
1352,0.02460
1353,0.01941
1354,0.01938
1355,0.00155
1356,-0.00447
1357,-0.00126
1358,-0.00241
1359,0.00027
1360,-0.00999
1361,-0.00779
1362,-0.01310
1363,-0.00869
1364,0.04595
1365,0.05637
1366,0.03992
1367,0.03403
1368,0.00186
1369,0.00120
1370,-0.04544
1371,0.01590
1372,0.02172
1373,0.00102
1374,0.00078
1375,0.00072
1376,0.00318
1377,-0.00295
1378,-0.00505
1379,-0.00110
1380,-0.01884
1381,-0.02088
1382,-0.02087
1383,0.01938
1384,0.00108
1385,0.00154
1386,-0.01195
1387,-0.01289
1388,-0.02547
1389,-0.02260
1390,-0.02224
1391,-0.04109
1392,-0.06014
1393,-0.04425
1394,-0.04494
1395,0.00149
1396,0.00296
1397,0.01771
1398,0.02102
1399,0.02492
1400,-0.00400
1401,0.02451
1402,-0.00397
1403,0.02801
1404,0.03730
1405,0.04416
1406,0.00122
1407,-0.00845
1408,-0.00744
1409,0.01758
1410,0.02296
1411,-0.00176
1412,-0.00021
1413,-0.00050
1414,0.00001
1415,0.00001
1416,0.00027
1417,0.00073
1418,0.01032
1419,0.01418
1420,-0.00416
1421,0.00215
1422,0.00333
1423,0.00094
1424,-0.00203
1425,-0.00307
1426,0.00079
1427,0.04072
1428,0.05594
1429,0.02818
1430,0.03234
1431,0.02419
1432,0.00063
1433,0.00034
1434,0.00032
1435,0.00152
1436,0.00115
1437,-0.00040
1438,0.00593
1439,-0.00563
1440,-0.00421
1441,-0.00803
1442,-0.01505
1443,-0.01399
1444,-0.01070
1445,-0.00592
1446,-0.01097
1447,-0.00727
1448,-0.01298
1449,-0.01090
1450,0.02456
1451,0.00105
1452,0.00066
1453,-0.00854
1454,-0.01470
1455,0.00920
1456,0.01169
1457,0.00045
1458,0.00080
1459,0.03848
1460,0.03148
1461,0.02804
1462,0.00895
1463,0.00670
1464,0.00147
1465,0.00114
1466,0.00203
1467,-0.00745
1468,-0.00924
1469,0.00709
1470,0.00162
1471,0.00043
1472,0.00166
1473,-0.00344
1474,0.00127
1475,0.00143
1476,0.00083
1477,0.00362
1478,-0.01938
1479,-0.01174
1480,0.00576
1481,0.00459
1482,-0.00640
1483,-0.00460
1484,0.00349
1485,0.00292
1486,0.00217
1487,0.00191
1488,0.00135
1489,-0.03220
1490,-0.02312
1491,-0.02737
1492,-0.02401
1493,0.00646
1494,-0.00279
1495,-0.00289
1496,-0.00368
1497,-0.05738
1498,0.00339
1499,0.00465
1500,-0.00266
1501,-0.00176
1502,0.00807
1503,0.00794
1504,0.00517
1505,0.00470
1506,0.00468
1507,-0.00039
1508,0.01528
1509,-0.01909
1510,-0.01865
1511,0.01149
1512,0.00281
1513,-0.02245
1514,-0.02502
1515,-0.00812
1516,-0.00153
1517,-0.00624
1518,-0.00430
1519,0.01967
1520,0.00473
1521,0.02919
1522,0.00351
1523,0.00930
1524,0.00985
1525,-0.00205
1526,-0.02319
1527,-0.00188
1528,0.02201
1529,-0.00611
1530,0.02693
1531,0.02365
1532,0.00862
1533,-0.02935
1534,-0.03204
1535,-0.01755
1536,-0.02016
1537,-0.02533
1538,0.00094
1539,-0.01117
1540,0.01037
1541,-0.02140
1542,-0.00081
1543,0.00005
1544,0.01387
1545,0.02261
1546,0.02727
1547,0.03761
1548,0.00716
1549,0.02303
1550,-0.00712
1551,-0.01090
1552,0.02840
1553,-0.01996
1554,-0.00135
1555,0.00088
1556,0.00354
1557,0.00269
1558,0.00113
1559,0.00999
1560,-0.00926
1561,0.01150
1562,0.03948
1563,0.03080
1564,0.02893
1565,0.02321
1566,0.01106
1567,0.00036
1568,-0.00040
1569,0.00071
1570,0.00059
1571,0.00341
1572,-0.01984
1573,-0.03687
1574,-0.04727
1575,-0.04943
1576,0.00522
1577,0.00452
1578,0.00316
1579,-0.00269
1580,0.00178
1581,-0.00212
1582,-0.00081
1583,-0.00105
1584,-0.00130
1585,-0.02914
1586,-0.00439
1587,-0.01645
1588,0.02907
1589,-0.00769
1590,0.00563
1591,-0.00271
1592,-0.02265
1593,0.00151
1594,0.00942
1595,-0.00409
1596,0.03779
1597,-0.04459
1598,0.00118
1599,-0.00460
1600,-0.00006
1601,0.01759
1602,0.00332
1603,0.00199
1604,0.00000
1605,0.00005
1606,-0.00000
1607,0.00004
1608,-0.00479
1609,-0.02794
1610,-0.05138
1611,-0.00002
1612,0.00000
1613,-0.00006
1614,0.00000
1615,-0.00000
1616,0.00000
1617,-0.00000
1618,0.00000
1619,-0.00000
1620,-0.00000
1621,0.00000
1622,0.00000
1623,0.00000
1624,0.00000
1625,0.00000
1626,0.00000
1627,0.00000
1628,-0.00000
1629,0.00000
1630,-0.00000
1631,-0.00001
1632,-0.00001
1633,-0.00001
1634,0.00006
1635,-0.00000
1636,0.00001
1637,0.00001
1638,-0.00006
1639,0.00002
1640,0.00002
1641,-0.00002
1642,0.00002
1643,-0.00001
1644,-0.05142
1645,-0.05338
1646,-0.01610
1647,0.04950
1648,0.04786
1649,0.04732
1650,0.03207
1651,-0.00005
1652,0.00267
1653,0.04125
1654,-0.03511
1655,-0.00000
1656,0.05778
1657,0.04567
1658,0.01201
1659,0.00896
1660,-0.01425
1661,-0.01705
1662,-0.05265
1663,0.00587
1664,-0.05853
1665,-0.05660
1666,0.01470
1667,-0.02176
1668,0.05662
1669,0.00000
1670,-0.06008
1671,0.02476
1672,0.05868
1673,0.01797
1674,0.00004
1675,0.05593
1676,0.02958
1677,0.05596
1678,-0.06075
1679,-0.01979
1680,0.05626
1681,-0.01894
1682,-0.00004
1683,0.01153
1684,-0.00007
1685,-0.00777
1686,-0.00001
1687,-0.05898
1688,0.01500
1689,1.95314
1690,1.56881
1691,1.99922
1692,1.67294
1693,-0.12844
1694,-0.37242
1695,-0.20524
1696,-0.51105
1697,0.26644
1698,0.39295
1699,0.28144
1700,0.28900
1701,0.40318
1702,-0.01606
1703,-0.01699
1704,-0.01035
1705,-0.02549
1706,-0.03185
1707,-0.02017
1708,-0.03237
1709,0.03932
1710,0.04054
1711,0.05783
1712,0.05212
1713,-0.01165
1714,-0.00701
1715,-0.00862
1716,-0.01823
1717,-0.25124
1718,-0.19103
1719,-0.10937
1720,-0.41063
1721,-0.35122
1722,1.44972
1723,1.11752
1724,1.35655
1725,1.52042
1726,1.22147
1727,-3.37317
1728,-2.94047
1729,-2.82975
1730,-3.81894
1731,-3.41318
1732,6.90244
1733,6.35304
1734,6.99102
1735,6.68284
1736,6.18754
1737,-3.02484
1738,-2.65991
1739,-2.48875
1740,6.35164
1741,6.02397
1742,-2.58279
1743,-3.12845
1744,-2.75499
1745,-3.16534
1746,2.68534
1747,2.14822
1748,2.35173
1749,3.44145
1750,2.95367
1751,3.03392
1752,2.56402
1753,0.68056
1754,0.44521
1755,0.32168
1756,0.80386
1757,0.73300
1758,0.18518
1759,-0.08607
1760,0.13621
